Area,Region,Average Maximum (C),Average Minimum (C),Average Temperature (C)
??,1,35.5,-6.2,
??,1,35.3,-6.9,
???,1,35.8,-6.4,
??,1,37,-5.8,
???,1,34.9,-8.7,
???,1,35.5,-9.5,
??,1,36.9,-9.1,
??,1,35.9,-10.4,
???,1,35.4,-11.5,
??,1,36.9,-10.7,
???,1,36.2,-11.6,
??,1,37.8,-10.4,
??,1,36.9,-11.3,
??,1,36,-12.6,
???,1,37.6,-11.3,
???,1,37.3,-11.7,
??,1,37.7,-11.6,
??,1,36.8,-13.2,
??,2,37.3,-12.8,
???,2,37.4,-12.7,
???,2,39.1,-11.1,
???,2,33.5,-17.4,
???,2,38.5,-12.4,
??,2,38.5,-12.5,
??,2,37.1,-14,
??,2,37.8,-13.4,
??,2,36.4,-14.8,
??,2,37.2,-14.1,
??,2,38.5,-13.1,
??,2,37.8,-14,
??,2,37.1,-15,
??,2,39.4,-12.9,
??,2,38.8,-13.5,
??,2,37.9,-14.6,
???,2,37.6,-15.2,
???,2,39.8,-13,
??,2,39.2,-13.9,
???,2,38.7,-14.4,
??,2,38.1,-15.1,
???,2,37.1,-16.2,
???,2,37.7,-15.6,
??,2,37.9,-15.6,
??,2,38.4,-15.1,
??,2,37.8,-15.8,
??,2,37,-16.6,
???,2,37.8,-16,
??,2,38.2,-15.6,
???,2,36.7,-17.5,
??,2,38.9,-15.3,
??,2,38.5,-15.8,
???,2,38.1,-16.2,
??,2,36.9,-17.7,
??,2,39,-15.8,
??,2,39.9,-15.1,
??,2,37.7,-17.3,
??,2,38.7,-16.4,
??,2,37,-18.2,
??,2,38,-17.2,
??,2,38.2,-17,
??,2,39.6,-15.7,
??,2,38.1,-17.4,
??,2,37.1,-18.4,
??,2,37.1,-18.7,
??,2,39.5,-16.4,
??,2,36.5,-20,
??,2,38,-18.5,
??,2,34.7,-22,
??,2,39.4,-17.4,
??,2,39.7,-17.4,
???,2,37.5,-19.6,
??,2,39.1,-18.1,
??,2,37.5,-19.7,
??,2,37.9,-19.5,
??,2,35.7,-21.7,
??,2,37.9,-19.6,
??,2,39.3,-18.6,
??,2,35.8,-22.1,
??,2,36.4,-21.5,
???,2,38.1,-19.8,
??,2,39.6,-18.6,
??,2,37,-21.4,
???,2,38.5,-20,
??,2,39.3,-19.4,
??,2,38,-20.9,
??,2,38.7,-20.4,
??,2,37.6,-21.6,
??,2,38.9,-20.4,
??,2,37.5,-21.8,
???,2,39.6,-20.1,
??,2,36.5,-23.3,
??,2,38.8,-21.2,
??,2,38,-22,
??,3,38.2,-22,
??,3,38.8,-22,
??,3,37.8,-23.9,
??,3,40,-21.7,
???,3,35,-26.8,
??,3,40.1,-21.8,
??,3,37.6,-24.5,
???,3,40.6,-21.7,
??,3,37.7,-24.6,
??,3,38.5,-24,
??,3,39.4,-23.2,
??,3,39.9,-23.5,
??,3,37.8,-25.6,
??,3,40.4,-23.2,
??,3,37.2,-26.7,
??,3,39.5,-24.5,
??,3,38.6,-25.5,
???,3,38.7,-26.2,
??,3,39.4,-26,
??,3,37.8,-27.7,
??,3,33.7,-32.3,
??,3,38.7,-27.8,
??,3,38.4,-29.2,
??,3,41,-26.7,
??,3,38.9,-29.5,
??,3,33.2,-36.6,
???,3,33.5,-40.1,
??,3,40.2,-35.5,
??,3,46,-33.9,
ATL,2,59,35,47
ATL,3,67,43,55
ATL,4,75,51,63
ATL,5,82,59,70.5
ATL,6,90,67,78.5
ATL,7,94,71,82.5
ATL,8,94,69,81.5
ATL,9,87,62,74.5
ATL,10,76,50,63
ATL,11,64,41,52.5
ATL,12,56,33,44.5
PAR,1,51,30,40.5
PAR,2,58,35,46.5
PAR,3,66,43,54.5
PAR,4,74,51,62.5
PAR,5,81,60,70.5
PAR,6,89,68,78.5
PAR,7,94,72,83
PAR,8,95,71,83
PAR,9,87,63,75
PAR,10,77,52,64.5
PAR,11,63,41,52
PAR,12,54,33,43.5
TYL,1,57,38,47.5
TYL,2,64,41,52.5
TYL,3,72,49,60.5
TYL,4,78,55,66.5
TYL,5,84,63,73.5
TYL,6,90,70,80
TYL,7,94,73,83.5
TYL,8,94,72,83
TYL,9,88,67,77.5
TYL,10,78,56,67
TYL,11,67,48,57.5
TYL,12,58,40,49
WAC,1,57,33,45
WAC,2,62,38,50
WAC,3,70,46,58
WAC,4,78,53,65.5
WAC,5,84,63,73.5
WAC,6,91,70,80.5
WAC,7,96,74,85
WAC,8,96,73,84.5
WAC,9,90,66,78
WAC,10,79,55,67
WAC,11,68,45,56.5
WAC,12,59,36,47.5
BWD,1,57,30,43.5
BWD,2,62,35,48.5
BWD,3,70,42,56
BWD,4,78,51,64.5
BWD,5,84,61,72.5
BWD,6,91,68,79.5
BWD,7,95,71,83
BWD,8,95,70,82.5
BWD,9,88,63,75.5
BWD,10,79,52,65.5
BWD,11,68,41,54.5
BWD,12,60,32,46
LFK,1,59,38,48.5
LFK,2,65,41,53
LFK,3,72,48,60
LFK,4,78,54,66
LFK,5,84,63,73.5
LFK,6,90,69,79.5
LFK,7,93,72,82.5
LFK,8,94,71,82.5
LFK,9,89,66,77.5
LFK,10,80,55,67.5
LFK,11,69,46,57.5
LFK,12,61,39,50
SAT,1,62,39,50.5
SAT,2,67,43,55
SAT,3,74,50,62
SAT,4,80,57,68.5
SAT,5,86,66,76
SAT,6,91,72,81.5
SAT,7,95,74,84.5
SAT,8,95,74,84.5
SAT,9,90,69,79.5
SAT,10,82,59,70.5
SAT,11,71,49,60
SAT,12,64,41,52.5
LRD,1,68,44,56
LRD,2,73,48,60.5
LRD,3,82,56,69
LRD,4,89,63,76
LRD,5,95,70,82.5
LRD,6,100,74,87
LRD,7,102,75,88.5
LRD,8,101,75,88
LRD,9,95,71,83
LRD,10,87,63,75
LRD,11,77,53,65
LRD,12,69,45,57
BRY,1,61,40,50.5
BRY,2,66,44,55
BRY,3,73,50,61.5
BRY,4,79,57,68
BRY,5,85,65,75
BRY,6,92,72,82
BRY,7,96,74,85
BRY,8,96,73,84.5
BRY,9,91,69,80
BRY,10,82,59,70.5
BRY,11,71,49,60
BRY,12,63,42,52.5
AUS,1,60,40,50
AUS,2,65,44,54.5
AUS,3,73,51,62
AUS,4,79,58,68.5
AUS,5,85,65,75
AUS,6,91,71,81
AUS,7,95,73,84
AUS,8,96,73,84.5
AUS,9,90,69,79.5
AUS,10,81,60,70.5
AUS,11,70,49,59.5
AUS,12,62,42,52
HOU,1,63,45,54
HOU,2,67,48,57.5
HOU,3,74,55,64.5
HOU,4,79,61,70
HOU,5,86,68,77
HOU,6,91,74,82.5
HOU,7,94,75,84.5
HOU,8,93,75,84
HOU,9,89,72,80.5
HOU,10,82,62,72
HOU,11,73,53,63
HOU,12,65,47,56
BMT,1,62,43,52.5
BMT,2,65,46,55.5
BMT,3,72,52,62
BMT,4,78,59,68.5
BMT,5,84,66,75
BMT,6,89,72,80.5
BMT,7,92,74,83
BMT,8,92,73,82.5
BMT,9,88,69,78.5
BMT,10,80,60,70
BMT,11,71,51,61
BMT,12,64,45,54.5
CRP,1,66,46,56
CRP,2,70,49,59.5
CRP,3,76,56,66
CRP,4,81,62,71.5
CRP,5,86,69,77.5
CRP,6,90,74,82
CRP,7,93,74,83.5
CRP,8,93,75,84
CRP,9,90,72,81
CRP,10,84,64,74
CRP,11,75,55,65
CRP,12,68,48,58
PHR,1,69,48,58.5
PHR,2,73,52,62.5
PHR,3,81,58,69.5
PHR,4,85,64,74.5
PHR,5,89,70,79.5
PHR,6,94,74,84
PHR,7,95,75,85
PHR,8,96,75,85.5
PHR,9,92,72,82
PHR,10,86,65,75.5
PHR,11,78,57,67.5
PHR,12,71,50,60.5
YKM,1,62,39,50.5
YKM,2,66,43,54.5
YKM,3,73,50,61.5
YKM,4,80,57,68.5
YKM,5,86,64,75
YKM,6,91,70,80.5
YKM,7,94,71,82.5
YKM,8,95,71,83
YKM,9,91,67,79
YKM,10,83,58,70.5
YKM,11,72,49,60.5
YKM,12,64,42,53
